name,category,Marking
Dry fruits and Seeds Spicy Trail Mix,dry_fruits_nuts,Right
SpiceBuggy Kalonji | Kalaunji | Nigella Seed,seeds,Right
Nutberry PEANUT BUTTER CREAMY 500GM,dry_fruits_nuts,Wrong
Sunfeast Dark Fantasy Bourbon Biscuit,biscuits,Right
Best Farms Premium Almonds 100 g,dry_fruits_nuts,Right
"Khapli Wheat Flour, Organic & Stone Milling Method, High Dietary Fiber",staples_grains,Right
Bikaji bhujiya Bhujia Sev,snacks,Right
Britannia Treat Orange Creme Wafers Biscuits 55 g,biscuits,Right
"SNACK FIRST Banana Chips Crispy Snack, Combo of 2, peri peri & Chutney Flavor",snacks,Right
Goshudh Unpolished Roasted Chana,pulses_legumes,Right
Value Life Beaten Rice Poha 990g,breakfast_cereal,Right
Banarasi Aloo Papad,snacks,Right
Unpolished Chana Dal (Split),pulses_legumes,Right
"Drools Calcium Sausage Dog Supplement - Jar, 32 Pcs PACK OF 2",pet_food,Right
Cashew Cookies Healthy Snack for Kids & Adults Rich in Protein & Fibre,biscuits,Right
Rept Bajra Flour,staples_grains,Right
"Ashwagandha Powder, Strength & Vitality",health_supplements,Right
"Ragi twist Cookies, Millets Biscuits, Millets Cookies - 75g (Pack of 2)",biscuits,Right
Samyang Hot Chicken Ramen Buldak Cheese Noodles,noodles,Right
Daadi's Ragi Desi Tadka Khakhra Khakhra,snacks,Right
FSIPL's Chef's Art Panko Bread Crumbs,bakery,Right
Pro-To-Grow Ready to Eat Oats with Bhim Banana & Real Cranberries,breakfast_cereal,Right
Bamboo Shoot halves in water (Pack of 3),beverages,Right
Amul Mozzarella & Cheddar Diced Cheese Blend,dairy,Right
Britannia Good Day Pista Badam Cookies,biscuits,Right
"Food Library Taco Seasoning Mix, 200 G (Pack Of 1)",snacks,Right
Marwari mota bhujiya sev bikaner namkeen,snacks,Right
Lijjat Moong Papad,snacks,Right
Nutro High Chocolate Chip Cookies,biscuits,Right
Groly 100% Organic Jeera (Cumin Seeds),seeds,Right
Disano Crunchy Peanut Butter 350 g,dry_fruits_nuts,Wrong
Freshtige NT_265 Cumin Seeds,seeds,Right
"wheafree Gluten Free Elaichi Cookies, Jeera Cookies & Ajwain Cookies Combo",biscuits,Right
METTLE Alpha whey protein Whey Protein,health_supplements,Right
Goshudh Gehun Atta 500g & Jowar Atta 500g Combo Pack 1000g,staples_grains,Right
Amul Masti Dahi,beverages,Wrong
Jabsons Tandoori Roasted Peanuts 140 g,dry_fruits_nuts,Right
PARLE G Gold Biscuits Multi Grain Biscuit,biscuits,Right
Homemade Raw Potato Chips | Dry Kacchi Aaloo Chips,snacks,Right
Sameat Mexican Toasties Zero Maida | Crispy & Crunchy Tea Time Snack,snacks,Right
Farmers Grain Barnyard Millet Vermicelli,noodles,Right
Spinach Dosa Mix With Pratham Aahaar Fullfilled With Multigrains and Nuts Cereal,breakfast_cereal,Right
Prisyash Foods corn chips Sweet Corn,snacks,Right
Amul Masti,beverages,Right
Rice Bran Oil,oils_fats,Right
Trinetra Best Quality Finger Millet Flour / Ragi Atta,staples_grains,Right
FlavoFarm Quinoa Chips Gluten Free Snack,snacks,Right
Tata Sampann High in Fibre (Thick) Poha,breakfast_cereal,Right
Saffola Oats 1 kg With 300 g Free,breakfast_cereal,Right
Modern Sandwich Supreme White Bread,bakery,Right
BRITANNIA NutriChoice High Fibre Digestive Biscuit,biscuits,Right
HABIT Baked Beans in Tomato Sauce,condiments_sauces,Right
Kellogg's Chocos Chhota Laddoo Box,breakfast_cereal,Right
Kellogg's Chocos Breakfast Cereals Pouch,breakfast_cereal,Right
"Mix Chhatua - Ready to Eat, High Protein & Dietary Fibre",ready_to_eat,Right
BRITANNIA Vita Marie Gold Biscuits Chai Time Biscotti,biscuits,Right
Britannia Pav,others,Right
organic uncle Premium Black Pepper Kali Mirch,spices_masala,Right
Bikaji Kjau Kismis Mix 350g (pack of 1) Bhujia Sev,snacks,Right
California Almond & Cashew 1000g,dry_fruits_nuts,Right
Sugar Free Jowar Atta Cookies,biscuits,Right
Priya Refined Sunflower Oil,oils_fats,Right
Toor/Arhar Dal,pulses_legumes,Right
Yogabar Power Up Coffee Crush Protein Bar 70 g,health_supplements,Right
"HORLICKS Diabetes Plus Vanilla 1kg Container, Pack of 2",health_supplements,Right
Rept Bajra Flour,staples_grains,Right
"GAIA Muesli Fruit & Nut 1 Kg , Assorted Granola Bar pack of 4 X 50 Gm Jar",breakfast_cereal,Right
Brew Lab Instant Nutritious Low Sugar Badam Milk Powder with Kesar and Real Badam Pieces,dry_fruits_nuts,Right
MUSCLEBLAZE 10 g Protein Bar - Choco Almond,health_supplements,Right
Farmley Trail Mix Dry Fruits & Nuts,dry_fruits_nuts,Right
Organic Wisdom Multi Millet Noodles,noodles,Right
Milk Choco Biscuit Balls Chocolate Munchies,biscuits,Right
Navratan mixture,snacks,Right
Prolicious High Protein & Fiber Thins Combo,gift_combo,Right
Stoneground Organic Sharbati Wheat Atta/Flour,beverages,Wrong
EPIGAMIA Coconut Flavored Yogurt,dairy,Right
Mr Makhana Himalayan Salt & Pepper Popped Lotus Seeds,snacks,Wrong
"Nature Valley Crunchy Granola Bar, Oats & Dark Chocolate",breakfast_cereal,Right
Surya 900gm Cumin Whole,spices_masala,Right
Chokhi Dhani Besan Ladoo,sweets_desserts,Right
VEEBA Pasta & Pizza Sauce,noodles,Right
Britannia Winkin cow thick lassi 180ml,dairy,Right
Jabsons Peanut Gud Chikki/Brittle,dry_fruits_nuts,Right
Milk Rusk - Gluten Free (Non-Veg) Pack of 2 - 300g each,biscuits,Right
Bikaji Bhujia Combo Namkeen,snacks,Right
"Tata Sampann Premium Quality Kaju, 100% Pure Cashews",dry_fruits_nuts,Right
Akshayakalpa Artisanal Organic Plain Curd,dairy,Right
fruitaco Tomato Ketchup Sauce,condiments_sauces,Right
