name,category,mark
Scotti Rice Sushi (Japanese) Rice,staples_grains,right
Haldiram's Rasgulla (Pack Of 2),sweets_desserts,right
Nissin Geki Korean Veg Noodles 80 g,noodles,right
NutroVally Rolled Oats,breakfast_cereal,right
Organic Mango Greek Yogurt,dairy,right
24 Mantra Organic Idli Rice 1 kg,staples_grains,right
Catch Sambhar Masala 100 g,spices_masala,right
Yu Schezwan Stir Fry Hakka Noodles,noodles,right
"Papad Moong Dal Special, Strong Masala, Handmade Masala Papad",snacks,right
BRITANNIA Tiger krunch 960 gm combo pack Plain Biscuit,biscuits,right
Yoga bar High Protein Muesli+,breakfast_cereal,right
Premium Veg Mayonnaise,condiments_sauces,right
100% Natural Premium Californian Value Pack Almonds,dry_fruits_nuts,right
Parle-G Original Glucose Biscuits,biscuits,right
Unibic Cookizo Brown Butter & Pineapple Cookies,biscuits,right
Old ELPaso Vegetarian Refried Beans - 453g(16oz),pulses_legumes,right
Kids Multigrain Choco Flakes Delicious Breakfast Cereal Ready to Eat Foods Pouch,breakfast_cereal,right
"Turmeric Powder , Premium Haldi Powder",spices_masala,right
Organic Ragi flour,staples_grains,right
Namdhari's Dairy Paneer,dairy,right
Ahaar Unpolished Rajma Chithra,pulses_legumes,right
Cookieman Choco Chip Cookies Biscuit Cookies,biscuits,right
Pearl Organic Fresh Unpolished Rajma,pulses_legumes,right
MTR Instant Khaman Dhokla Mix,ready_to_eat,right
India Gate Super Basmati Rice 1 kg,staples_grains,right
Real Fruit Power Apple Juice 125 ml (Pack of 10),beverages,right
Premium Roasted Chana Sattu,snacks,right
Ching's Secret Veg Hakka Noodles 560 g,noodles,right
Daawat Pulav Basmati Rice (Long Grain),staples_grains,right
FarrmB Corn Flour,staples_grains,right
PARLE Marie Cookies,biscuits,right
Bajra Atta 1Kg & Gehun Atta 500g Combo Pack,staples_grains,right
Good Life California Roasted & Salted Pista,dry_fruits_nuts,right
Cadbury Silk Hazelnut Chocolate & Silk Chocolate Bar Gift Pack,chocolate_candy,right
Good Life Lokwan Wheat 10 kg,staples_grains,right
Meethi Khari | Crispy Sweet Khari Puff Snack for Tea Time Munching,biscuits,right
8AM Corn Flakes No Added Sugar,breakfast_cereal,right
"Food Essential Shiro Miso Paste [All Natural, Light Miso & Soy-Based] 250 gm.",condiments_sauces,right
Aashirvaad Chakki Khapli Atta,staples_grains,right
High Whey Protein Cookies (Coffee Cashew),biscuits,right
Freshos Creamed Corn,staples_grains,right
RiteBite Choco Delite Health Bar,chocolate_candy,right
DIBS Potato Crisps On the Go Adventure Indie Masala,snacks,right
Quaker Oats - 400 gm Meals Pack Of 1 Pouch,breakfast_cereal,right
Wholegrain Vanilla Banana Pancake,fresh_produce,right
Premium Quality Jaggery Powder,sweeteners,right
Jabsons Jeera Khakhra,snacks,right
Cabruary Bourn Vita,health_supplements,right
kissan fresh tomato,condiments_sauces,right
NUTRO BAR Fresh Green Pumpkin Seeds,chocolate_candy,right
