report_id,name,brand,barcode,pack_size,seller_label,product_url,data_source,analyzed_at,quality_score,tier,nova_group,nova_penalty,efsa_penalty,macro_penalty,trans_fat_penalty,trans_fat_gate_legacy,palm_oil_penalty,positive_buffer,energy_kcal,protein_g,carbohydrate_g,sugars_g,fat_g,saturated_fat_g,trans_fat_g,fiber_g,sodium_mg,pack_size_grams,who_breach_count,who_breaches,additive_flag_count,cleared_additives_count,eu_banned_count,harmful_dye_count,who_sweetener_count,controversial_additive_count,banned_in_eu_count,restricted_in_eu_count,warning_in_eu_count,permitted_in_eu_count,max_evidence_strength,ingredient_text_length
live-e8cd71a6-4eb7-444a-b837-b2c43883ec46,Parle-G Biscuits,Parle,8901719101103,40 g,JioMart,https://www.jiomart.com/product/parle-g-biscuits-45-g-mffner-7551663,gemini-estimated,2026-08-18T13:43:39.163Z,41,not_healthy,3,15,0,50.5,,0,0,6.3,456,6.5,78,23.5,13.5,6,0,2,400,40,2,sugars;saturatedFat,0,0,0,0,0,0,0,0,0,0,0,153
live-b95ab5b9-9eca-44bf-8766-d9d0d508d05d,Lay's Spanish Tomato Tango Potato Chips 58 g,Lay's,,58 g,JioMart,https://www.jiomart.com/product/lay-s-spanish-tomato-tango-potato-chips-58-g-mqs02a-124951559,gemini-estimated,2026-08-18T13:51:38.629Z,13,hazardous,4,30,0,60.6,20,,5,9.1,553,6.8,53,4.5,34.6,15.7,0.1,3.8,750,58,2,saturatedFat;sodium,4,2,0,0,0,0,0,0,0,4,2,310
live-553d3332-0724-4827-ad03-720ded776776,Too Yumm! Indian Masala Potato Chips,Too Yumm!,,82 g,JioMart,https://www.jiomart.com/product/too-yumm-indian-masala-potato-chips-82-g-mffmxl-7515478,gemini-estimated,2026-08-18T13:52:37.133Z,17,hazardous,4,30,0,57.5,20,,5,9.5,536,6.8,57.5,4.2,31,13.5,0.1,4.1,750,82,2,saturatedFat;sodium,3,2,0,0,0,0,0,0,0,3,2,389
live-09d03c2c-73b4-4223-bcfd-da3e60056350,Too Yumm Sour Cream & Onion Veggie Stix,Too Yumm,8906092823485,70 g,JioMart,https://www.jiomart.com/product/too-yumm-sour-cream-onion-veggie-stix-70-g-mo7cm4-81190839,gemini-estimated,2026-08-18T13:54:07.209Z,24,hazardous,4,30,0,54.2,20,,0,7.8,483,6.5,65,5.2,22,9.5,0.1,3,750,70,2,saturatedFat;sodium,3,1,0,0,0,0,0,0,0,3,2,312
live-4de7fbe0-1c04-4efe-872a-b60cffeadbe8,Haldirams Aloo Bhujia,Haldiram,12751112,200 g,JioMart,https://www.jiomart.com/product/haldirams-nagpur-aloo-bhujia-200-g-mffn0i-7521847,openfoodfacts,2026-08-18T14:20:02.939Z,44,not_healthy,4,30,0,25.6,,0,5,4.9,557,9.7,44.4,3.7,40.1,6.2,0,0,909,200,2,saturatedFat;sodium,4,1,0,0,0,0,0,0,0,4,2,642
live-7b15c72a-99ee-440d-a2df-d7b0f3d3cb65,Lay's American Style Cream & Onion Potato Chips,Lay's,8901491101349,58 g,JioMart,https://www.jiomart.com/product/lay-s-american-style-cream-onion-potato-chips-58-g-mqs02a-124951560,gemini-estimated,2026-08-18T15:13:12.330Z,18,hazardous,4,30,0,56.6,20,,5,9.5,545,6.7,53.4,2.7,33.5,15.2,0.1,4.1,714,58,2,saturatedFat;sodium,2,1,0,0,0,0,0,0,0,2,1,274
live-771e4cd7-e55c-4763-a170-a51b6e5eca96,Chokhi Dhani Ajwain Cookies,Chokhi Dhani,,350 g,Flipkart,https://www.flipkart.com/chokhi-dhani-ajwain-cookies/p/itm717e69d71b4a9?pid=CKBHPF9BGXNRCGC2&lid=LSTCKBHPF9BGXNRCGC2HIBJWB&marketplace=FLIPKART&q=amul+butter+cookies&store=eat%2F5am&srno=s_1_14&otracker=search&fm=organic&iid=4f38de3f-539c-4669-b168-60119924358c.CKBHPF9BGXNRCGC2.SEARCH&ppt=None&ppn=None&ssid=7zeuh73ls00000001787066612845&qH=6330b00015ccaca0&ov_redirect=true&ov_redirect=true,gemini-extracted,2026-08-18T15:27:28.502Z,38,not_healthy,3,15,0,57,,0,0,10,500,8,52,22.4,28,12,0,4,448,350,1,saturatedFat,0,0,0,0,0,0,0,0,0,0,0,116
live-faad3edd-d840-473a-9a2e-9d4434c89340,Nongshim Korean Style Spicy Shin Ramyun Noodle Soup,Nongshim,031146173295,120 g,JioMart,https://www.jiomart.com/product/nongshim-korean-style-spicy-shin-ramyun-noodle-soup-120-g-mffn0g-7521731,gemini-estimated,2026-08-18T15:37:32.069Z,28,not_healthy,4,30,5,41.9,,0,5,9.5,425,9.2,65.8,3.3,14.2,6.7,0,3.3,1450,120,2,saturatedFat;sodium,4,0,0,0,0,1,0,1,0,3,2,749
live-5433fd63-9a67-4a50-b5b0-d563aa0f1960,Wai Wai Veg Masala Flavoured Instant Noodles,Wai Wai,,70 g,JioMart,https://www.jiomart.com/product/wai-wai-ready-to-eat-veg-masala-flavoured-instant-noodles-70-g-mffmqu-7501277,gemini-estimated,2026-08-18T15:41:44.134Z,14,hazardous,4,30,0,59.3,,0,5,8.5,450,9.5,62,3,18,9,0,2.5,2200,70,2,saturatedFat;sodium,2,1,0,0,0,0,0,0,0,2,1,433
live-d7da0480-6f47-419f-b6ce-c799c3c3fefd,Cadbury DAIRY MILK FAMILY PACK Bar Gift Pack,Cadbury,,130 g,Flipkart,https://www.flipkart.com/cadbury-dairy-milk-family-pack-bar-gift/p/itm4ee7d3a94ee82?pid=CHCFYZKSYHW2TQQG&lid=LSTCHCFYZKSYHW2TQQG4HPDTB&marketplace=FLIPKART&q=dairy+milk+chocolate&store=eat%2F0pt&srno=s_1_13&otracker=search&fm=organic&iid=3faa133c-7ceb-4ac9-8ec8-85f56f9fd84b.CHCFYZKSYHW2TQQG.SEARCH&ppt=None&ppn=None&ssid=5d4j3dr9og0000001787067794759&qH=62507ea591dc922f&ov_redirect=true&ov_redirect=true,gemini-estimated,2026-08-18T15:45:29.634Z,0,hazardous,3,15,0,105.1,,1,0,6,534,7.5,59.4,53.5,30.5,18.2,0.1,1.5,150,130,2,sugars;saturatedFat,0,0,0,0,0,0,0,0,0,0,0,170
live-3c374ee3-a6cb-42c8-96f4-5107c7459d75,Britannia Bourbon The Original Chocolate Cream Biscuits 50 g,Britannia,,50 g,JioMart,https://www.jiomart.com/product/britannia-bourbon-the-original-chocolate-cream-biscuits-60-g-mffmqu-7501266,gemini-estimated,2026-08-18T16:27:52.857Z,0,hazardous,3,15,0,76.2,,1,0,7,468,6.5,72,38,17.5,9,0.1,2.5,420,50,2,sugars;saturatedFat,0,2,0,0,0,0,0,0,0,0,0,284
live-4dd66292-3392-41f3-a485-f8fefe65ad1c,Parle Monaco Classic Salted Biscuits,Parle,8901719211029,46.4 g,JioMart,https://www.jiomart.com/product/parle-monaco-classic-salted-biscuits-522-g-mffn4i-7530289,gemini-estimated,2026-08-18T16:28:19.732Z,57,healthy,3,15,0,35.5,,0,0,7,491,8,65,5,22,10,0,2,800,46.4,2,saturatedFat;sodium,0,1,0,0,0,0,0,0,0,0,0,307
live-4a15f339-babe-4de0-aa1f-06a76f68d6d9,Parle-G Biscuits,Parle,8901719101037,80 g,JioMart,https://www.jiomart.com/product/parle-g-biscuits-90-g-mffna8-7542788,gemini-estimated,2026-08-18T16:28:46.619Z,36,not_healthy,3,15,0,50.5,,0,5,6.3,456,6.5,78,23.5,13.5,6,0,2,400,80,2,sugars;saturatedFat,0,1,0,0,0,0,0,0,0,0,0,348
live-dc6690f8-d31e-4265-a940-0c66bc06d3f5,McVitie's Bourbon Delight Biscuits,McVitie's,5000168206411,100 g,JioMart,https://www.jiomart.com/product/mcvities-bourbon-delight-biscuits-100-g-mffn3s-7528647,gemini-estimated,2026-08-18T16:29:13.203Z,6,hazardous,3,15,0,88.2,20,,0,9.3,460,6.5,69.5,34,17.5,8.5,0.1,4,350,100,2,sugars;saturatedFat,0,1,0,0,0,0,0,0,0,0,0,159
live-5e2ac896-fcbd-4f46-bee6-2e314f9054c2,Britannia Little Hearts Classic Biscuits,Britannia,,70 g,JioMart,https://www.jiomart.com/product/britannia-little-hearts-classic-biscuits-70-g-mfphxm-7570342,gemini-estimated,2026-08-18T16:29:39.757Z,38,not_healthy,3,15,0,53.8,,0,0,6.5,480,7,72,24,18,9,0,2,350,70,2,sugars;saturatedFat,0,0,0,0,0,0,0,0,0,0,0,139
live-d7d32601-e839-4321-bb27-10eb128dfa6e,Parle Fab Jam-In Cream Biscuits 140 g,Parle,,140 g,JioMart,https://www.jiomart.com/product/parle-fab-jam-in-cream-biscuits-140-g-mffn0d-7521544,gemini-estimated,2026-08-18T16:30:06.517Z,23,hazardous,3,15,0,67,,0,0,5,456,5.5,72.5,34,15.5,7.5,0,1.5,350,140,2,sugars;saturatedFat,0,1,0,0,0,0,0,0,0,0,0,365
live-91a6f067-fccc-4286-a26c-78596f726f71,Parle Fab Bourbon Chocolate Cream Biscuits 135 g,Parle,,135 g,JioMart,https://www.jiomart.com/product/parle-fab-bourbon-chocolate-cream-biscuits-135-g-mffn1c-7523631,gemini-estimated,2026-08-18T16:30:33.211Z,0,hazardous,3,15,0,74.2,,1,5,6.6,472,5.7,72.8,38,17.5,8.5,0.1,2.5,350,135,2,sugars;saturatedFat,0,2,0,0,0,0,0,0,0,0,0,341
live-fb5e3bc2-2b50-4f42-9895-1ca8b2ac371a,Sunfeast Dark Fantasy Bourbon Biscuit,Sunfeast,,450 g,JioMart,https://www.jiomart.com/product/sunfeast-dark-fantasy-bourbon-biscuit-465-g-93-g-x-5-pcs-mffnea-7550681,gemini-estimated,2026-08-18T16:31:00.222Z,0,hazardous,3,15,0,77.4,,1,0,7,472,6.5,69.5,38,18.5,9.5,0.1,2.5,450,450,2,sugars;saturatedFat,1,0,0,0,0,0,0,0,0,1,1,324
live-86dab9c8-88e8-4ef6-9a18-1c351c24e7b9,Parle Fab Bourbon Chocolate Sandwich Biscuits,Parle,,450 g,JioMart,https://www.jiomart.com/product/parle-fab-bourbon-chocolate-sandwich-biscuits-450-g-mffn4z-7531377,gemini-estimated,2026-08-18T16:31:26.800Z,0,hazardous,3,15,0,75.6,,1,0,7,460,6.5,72,38,16.5,8,0.1,2.5,450,450,2,sugars;saturatedFat,0,0,0,0,0,0,0,0,0,0,0,221
live-17a15c55-5a95-457d-b0a7-8962a40c6851,Britannia Marie Gold Biscuits Combo Pack 585 g (Buy 4 Get 1 Free),Britannia,,585 g,JioMart,https://www.jiomart.com/product/britannia-marie-gold-biscuits-combo-pack-585-g-buy-4-get-1-free-mffmt1-7505863,gemini-estimated,2026-08-18T16:31:53.608Z,43,not_healthy,3,15,0,50,,0,0,7.8,420,8,74,22,10,5,0,2.5,550,585,1,saturatedFat,0,0,0,0,0,0,0,0,0,0,0,343
live-892c62d8-3ad6-4375-8798-c882ba2ac7af,Cadbury Oreo Original Vanilla Cream Biscuit 876.75 g,Cadbury,,876.75 g,JioMart,https://www.jiomart.com/product/cadbury-oreo-pokemon-original-vanilla-cream-biscuit-87675-g-mffn70-7535885,gemini-estimated,2026-08-18T16:32:20.136Z,0,hazardous,3,15,0,75.8,,1,5,6.7,482,5.2,68.3,38.1,20.5,9.8,0.1,2.7,340,876.75,2,sugars;saturatedFat,0,1,0,0,0,0,0,0,0,0,0,199
live-5b39e930-a600-43f8-927e-63cf33e38410,Uncle Chipps Spicy Treat Potato Chips 37 g,Uncle Chipps,,37 g,JioMart,https://www.jiomart.com/product/uncle-chipps-spicy-treat-potato-chips-37-g-mffmvg-7511020,gemini-estimated,2026-08-18T16:32:46.723Z,25,not_healthy,4,30,0,54.2,20,,0,9.7,542,6.8,56.4,2.5,32.1,14.5,0.1,4.2,650,37,2,saturatedFat;sodium,1,2,0,0,0,0,0,0,0,1,1,294
live-00f83ca4-fa56-4fb4-930a-e16122bd67db,Uncle Chipps Plain Salted Potato,Uncle Chipps,,80 g,JioMart,https://www.jiomart.com/product/uncle-chipps-plain-salted-potato-80-g-mfpi1c-7578711,gemini-estimated,2026-08-18T16:33:13.173Z,46,not_healthy,3,15,0,48.4,20,,0,9.4,541,6.8,53,0.5,33,14.5,0.1,4,550,80,1,saturatedFat,0,0,0,0,0,0,0,0,0,0,0,42
live-0a656449-591d-46b8-9a7a-36d02f9e4d29,Lay's Classic Salted Potato Chips 80 g,Lay's,,80 g,JioMart,https://www.jiomart.com/product/lays-classic-salted-potato-chips-80-g-mffn16-7523314,gemini-estimated,2026-08-18T16:33:39.616Z,82,best,3,15,0,13.8,,0,0,10.6,536,7.1,52.9,0.5,34.1,3.5,0,4.7,482,80,0,,0,0,0,0,0,0,0,0,0,0,0,71
live-e38b9bce-9822-4457-b066-97d83174dcb8,American Style Cream and Onion Potato Chips,Too Yumm!,,79 g,JioMart,https://www.jiomart.com/product/too-yumm-american-style-cream-and-onion-potato-chips-82-g-mffn1d-7523741,gemini-estimated,2026-08-18T16:34:06.561Z,25,not_healthy,4,30,0,54.5,20,,0,9.3,535,6.5,57,3.5,31,13.5,0.1,4,650,79,2,saturatedFat;sodium,3,1,0,0,0,0,0,0,0,3,2,282
